Lobbyist Name,Lobbying Firm,ABN,Position
Fiona Scott,PremierNational,71 619 450 841,Executive Director
Fiona Sinclair,Ogilvy PR Agency Pty Limited,89 096 965 794,Senior Associate
Hayley Schubert,Sling and Stone,87 145 965 466,Senior Account Director
Peter Wilkinson,Wilkinson Butler,95164204111,Chairman
Joseph Tannous,Cornerstone Group,9915 3936 719,Executive Director
Russell Scoular,Chatto Creek Advisory,34613546142,Chairman
Tyson Sara,CMAX Advisory,73 130 740 546,Chief Operating Officer
Santo Santoro,Santoro Consulting,21 131 482 230,Director
Naomi Sanders,Promedia Public Relations,52 010 453 826,Account Manager
Tanya Waite,Promedia Public Relations,52 010 453 826,Public Relations Consultant
Rhys Ryan,Porter Novelli Australia Pty Ltd,40079616050,Managing Director
Louise Ryan,Louise Ryan Consulting,59 783 540 387,Director
Brendan Rowswell,CPR Communications and Public Relations Pty Ltd (Melbourne),"ABN 94064357544, ACN 064357544",Director
Katrine Ronne,Australian Society Of Ophthalmologists (formerly Vanguard Consulting & Services),29454001424,General Manager
Anthony Rolfe,TONY ROLFE Consulting,98 274 701 278,Principal Consultant
Geoff Rodgers,Rowland Pty Ltd,59 011 033 364,Chairman
Melynda Robinson,Commercial Licensing Specialists,33 134 318 595,Consultant
Joanne Scard,Fifty Acres - The Communications Agency,29 145 634 224,Advisor
Sarah Roberts,FTI Consulting,49 160 397 811,Senior Consultant
Bernard Ripoll,SAS Group,33 136 520 548,Director
Michelson Steve,Michelson Alexander Pty Ltd,50 660 359 866,Founder & Director
Sam Schiphorst,London Agency,73145352147,Public Affairs Manager
Edward Schiller,Ogilvy PR Agency Pty Limited,89 096 965 794,Coordinator
Craig Regan,Primary Communication,36617864347,Consultant
Llewellyn Rees,LK Creative Pty Ltd,ACN 140  857 432,Director
Will Redmond,PYNE AND PARTNERS,81 634 747 363,Senior Associate
Megan Redmond,TG Public Affairs,23630677673,Consultant
Maiya Saita,CMAX Advisory,73 130 740 546,Government Relations Adviser
Kathleen Quinn,The Inner Circle Strategic Advisory,75634265311,Partner
Christopher Pyne,PYNE AND PARTNERS,81 634 747 363,Chairman
Douglas Pye,Atlas Alliance,606084913,Director
Sahil Prasad,GRACosway Pty Ltd,50 082 123 822,Director
Damian Power,Govstrat Pty Ltd,64 964 952 044,Government Relations Consultant
Grace Portolesi,Grace Portolesi Connect,61 314 646 073,Director
Angus Robinson,Leisure Solutions,61 982 432 138,Managing Partner
Jeff Popp,Forrester Consulting,48 697 260 710,Director
Andrew Plumley,Willard Public Affairs Pty Ltd,17 165 851 856,Director
Anne Pleash,Mission Consulting Solutions,32660516974,Director
Addison Ridge,Nexus APAC Pty Ltd,76 615 655 699,Director
John Richardson,FIPRA Australia,50 078 482 596,Director
Matthew Peel,The Strand 365 PTY LTD,90 615 909 665,Principal Director
Darren Sly,Staerk Government and Media,32 844 592 574,Consultant
Alyssa Patterson,GRACosway Pty Ltd,50 082 123 822,Senior Consultant
Jaya Pastor-Elsegood,CMAX Advisory,73 130 740 546,Government Relations Adviser
Emma Ramage,Hawker Britton,79 109 681 405,Director
Chris Schacht,Chris Schacht,19 927 269 400,Chairman
Andrew Porter,Counsel House Pty Ltd,35 631 919 009,Director
Bernard Osmond,DNS Specialist Services,84 627 756 709,Business Consultant
Liam O'Regan,Anacta Strategies Pty Ltd,64 633 978 677,Senior Associate
Michael Photios,PremierNational,71 619 450 841,Chairman
Kevin Parer,Australian Strategic Advisory,51623355377,Director
Graham Richardson,PremierNational,71 619 450 841,Special Counsel
Justine Nolan,BBS Communications Group Pty Ltd,34 010 899 779,Group Client Manager
Genevieve Nolan,GRACosway Pty Ltd,50 082 123 822,Associate
Remo Nogarotto,CT Group,72600464855,Executive Chairman
Monique Nixon-Smith,DNS Specialist Services,84 627 756 709,Consultant
Test1 Only,Test Only,12 345 678 910,Administrator
Avanti Oberoi,CT Research Strategies Results,58 101 934 454,Consultant
Lisa Nixon,BBS Communications Group Pty Ltd,34 010 899 779,Director
Lisa Palu,SAS Group,33 136 520 548,Senior Consultant
Kirstin Payne,GRACosway Pty Ltd,50 082 123 822,Associate Director
Jessie Nguyen,Primary Communication,36617864347,Account Manager
Victoria Newton,Anacta Strategies Pty Ltd,64 633 978 677,Director
Brandon Nixon-Smith,DNS Specialist Services,84 627 756 709,Consultant
Kirsten Mulley,GRACosway Pty Ltd,50 082 123 822,CEO
Michael Morgan,Northstar Public Affairs Pty Ltd,25 638 744 046,Director
Alistair Nicholas,Alistair Nicholas Consulting Pty Ltd,81 655 939 852,Director
Juan Paolo Mendoza (Paul) Mills,Australian Public Affairs,20 098 705 403,Consultant
Stephen Milgate,S A Milgate & Associates Pty Ltd,54 078 858 401,Principal and Director
Karen Miles,DWS Hospitality Specialists,50 113 985 247,Office Manager
David Miles,Willard Public Affairs Pty Ltd,17 165 851 856,Principal
Reginald Mickel,Rowland Pty Ltd,59 011 033 364,Strategic Director
Stephen Mesa,Wilkinson Butler,95164204111,Senior Account Manager
Katherine Melville,Federation Public Affairs,19 642 230 162,Associate Director
Nicholas Melas,Cornerstone Group,9915 3936 719,Senior Director - Government Relations
Sabrine Navarro,Michelson Alexander Pty Ltd,50 660 359 866,Communications Consultant
Jeremy Phillips-Yelland,Michelson Alexander Pty Ltd,50 660 359 866,Associate
