source,target,weight,color,group
Govstrat Pty Ltd,Damian Power,1,#9b5de5,Lobbyist
Govstrat Pty Ltd,PETER TURNBULL,1,#9b5de5,Lobbyist
Govstrat Pty Ltd,Robert Borbidge,1,#9b5de5,Lobbyist
Grace Portolesi Connect,Grace Portolesi,1,#9b5de5,Lobbyist
Groundswell Leaders,Justin McGurgan,1,#9b5de5,Lobbyist
Hawker Britton,Ankita Panjratan,1,#9b5de5,Lobbyist
Hawker Britton,Emma Ramage,1,#9b5de5,Lobbyist
Hawker Britton,Simon Banks,1,#9b5de5,Lobbyist
Iemma Patterson Premier Advisory,Morris Iemma,1,#9b5de5,Lobbyist
Jeanes Holland and Associates,David Holland,1,#9b5de5,Lobbyist
Jeanes Holland and Associates,Susan Jeanes,1,#9b5de5,Lobbyist
John Connolly & Partners,John Connolly,1,#9b5de5,Lobbyist
John Short,John Short,1,#9b5de5,Lobbyist
Jutsum Advisory Pty Ltd,Matthew Jutsum,1,#9b5de5,Lobbyist
Kurrajong Strategic Counsel,Adrian Dolahenty,1,#9b5de5,Lobbyist
LK Creative Pty Ltd,Llewellyn Rees,1,#9b5de5,Lobbyist
Leisure Solutions,Angus Robinson,1,#9b5de5,Lobbyist
Liquor Licensing Consultants,Barry Christensen,1,#9b5de5,Lobbyist
Liquor Licensing Consultants,Susanne  Christensen ,1,#9b5de5,Lobbyist
London Agency,Philippa Bosquet,1,#9b5de5,Lobbyist
London Agency,Sam Schiphorst,1,#9b5de5,Lobbyist
London Agency,Sophia Heather,1,#9b5de5,Lobbyist
Lunik,Brian Kim,1,#9b5de5,Lobbyist
Lunik,Gavin Clancy,1,#9b5de5,Lobbyist
Lunik,Zackary McLennan,1,#9b5de5,Lobbyist
MB Liquor Licensing,Kerrie Blong,1,#9b5de5,Lobbyist
MB Liquor Licensing,Michael Blong,1,#9b5de5,Lobbyist
MCM Strategic Communications Pty Ltd,Hamish Arthur,1,#9b5de5,Lobbyist
Media and Public Affairs,George Hazim,1,#9b5de5,Lobbyist
