source,target,Weight,source type,target type,source color,target color
Govstrat Pty Ltd,PETER TURNBULL,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Govstrat Pty Ltd,Robert Borbidge,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Grace Portolesi Connect,Grace Portolesi,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Groundswell Leaders,Justin McGurgan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Hawker Britton,Ankita Panjratan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Hawker Britton,Emma Ramage,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Hawker Britton,Simon Banks,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Iemma Patterson Premier Advisory,Morris Iemma,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Jeanes Holland and Associates,David Holland,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Jeanes Holland and Associates,Susan Jeanes,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
John Connolly & Partners,John Connolly,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
John Short,John Short,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Jutsum Advisory Pty Ltd,Matthew Jutsum,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Kurrajong Strategic Counsel,Adrian Dolahenty,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
LK Creative Pty Ltd,Llewellyn Rees,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Leisure Solutions,Angus Robinson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Liquor Licensing Consultants,Barry Christensen,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Liquor Licensing Consultants,Susanne  Christensen ,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
London Agency,Philippa Bosquet,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
London Agency,Sam Schiphorst,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
London Agency,Sophia Heather,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Louise Ryan Consulting,Louise Ryan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Lunik,Brian Kim,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Lunik,Gavin Clancy,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Lunik,Zackary McLennan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
MB Liquor Licensing,Kerrie Blong,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
MB Liquor Licensing,Michael Blong,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
MCM Strategic Communications Pty Ltd,Hamish Arthur,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Media and Public Affairs,George Hazim,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Michelson Alexander Pty Ltd,Aisling Acton,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Michelson Alexander Pty Ltd,Alexander Whittle,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Michelson Alexander Pty Ltd,Andrew Stewart,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Michelson Alexander Pty Ltd,Elyse Hogan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Michelson Alexander Pty Ltd,James Fitzpatrick,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Michelson Alexander Pty Ltd,Jeremy Phillips-Yelland,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Michelson Alexander Pty Ltd,Michelson Steve,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Michelson Alexander Pty Ltd,Sabrine Navarro,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Mission Consulting Solutions,Anne Pleash,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Morph Consulting Services,Philip Brown,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Morph Consulting Services,Stuart Watters,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Narration,Graham Young,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Nexus APAC Pty Ltd,Addison Ridge,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Nexus APAC Pty Ltd,Edward Strong,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Nexus APAC Pty Ltd,Justin Fazzolari,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Nexus APAC Pty Ltd,Meagan Lawson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
