Client Name,Lobbyist,ABN
Queensland Pacific Metals Pty Ltd,Digby McLeay Consulting,81 165 559 339
Property Exchange Australia Ltd,Profile Consulting (Aust) Pty Ltd,47 166 122 434
Proper Pizza Cafe Bar Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Pro-Invest HotelsBrisbane Hydrus Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Pro-invest Hotel Operating Sunshine Coast Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Professional Standards Council,Primary Communication,36617864347
Quandamooka Yoolooburrabee Aboriginal Corporation,The Premier Communications Group,7313 750 8555
Private Healthcare Australia,DPG Advisory Solutions Pty Ltd,14 634 403 115
Queensland Resources Council,PolicyWonks,50 463 070 316
Primary Care Business Council (ABN 93 657 214 376),Australian Public Affairs,20 098 705 403
PreveCeutical (Australia) Pty Ltd,Jeanes Holland  & Associates,41 059 328 853
Pratt Holdings Pty Ltd,The Fifth Estate,51 069 838 222
Powerhouse Hub,TONY ROLFE Consulting,98 274 701 278
Power Ledger,Strategic Political Counsel,24613884763
Poseidon Sea Pilots Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Property Leaders Brisbane,BBS Communications Group Pty Ltd,34 010 899 779
Port Waratah Coal Services Limited ,TG Public Affairs,23630677673
QM Properties,Marketplace Communications,23 011 007 293
Project Urban Pty Ltd,Project Urban Pty Ltd,97 608 895 923
Port of Brisbane Pty Ltd ,Govstrat Pty Ltd,64 964 952 044
QER Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
PointsBet Australia Pty Ltd,Cornerstone Group,9915 3936 719
Plumbing Industry Climate Action Centre,Michelson Alexander Pty Ltd,50 660 359 866
Prosegur Australia Pty Limited,GRACosway Pty Ltd,50 082 123 822
Prime Super Pty Ltd,TG Public Affairs,23630677673
Plotlogic Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Plenary Group,Anacta Strategies Pty Ltd,64 633 978 677
Port of Newcastle,DPG Advisory Solutions Pty Ltd,14 634 403 115
Platinum on Duporth Pty Ltd,Precise Hospitality Licensing,46220117164
PIZZA PAN GROUP PTY LTD,Groundswell Leaders,33 103 434 840
Polestar,PolicyWonks,50 463 070 316
Pinzone Fishing Enterprises,Project Urban Pty Ltd,97 608 895 923
Pinssar Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Pindan Group,Promedia Public Relations,52 010 453 826
Prime Investment Group Holdings Pty Ltd,Precise Hospitality Licensing,46220117164
Pilatus Australia Pty Ltd,Chris Schacht,19 927 269 400
PLATEAU PLANTS,Walsh Stevens,18084661441
Pickwick Group,BB Win Win Outcomes,91 671 079 056
Photonis Technologies SAS,Pynfall Pty Ltd,39 008 566 943
Phosphate International,Anacta Strategies Pty Ltd,64 633 978 677
PMI Australia,Woodhill Communication Pty Ltd,62 613 694 189
Phonographic Performance Company of Australia,TG Public Affairs,23630677673
PEXA,Iemma Patterson Premier Advisory,53 830 148 273
POS Brisbane Pty Ltd,Jacaranda Advisory,41 673 550 487
Plenti Pty Limited,GRACosway Pty Ltd,50 082 123 822
Pepè Italia,Jacaranda Advisory,41 673 550 487
PEP Services Pty Limited,GRACosway Pty Ltd,50 082 123 822
Penske Power Systems,TG Public Affairs,23630677673
Pine Rivers Memorial Bowls Club,DWS Hospitality Specialists,50 113 985 247
Pearl Global Limited,PYNE AND PARTNERS,81 634 747 363
PepsiCo Australia & New Zealand,GRACosway Pty Ltd,50 082 123 822
Pathology Technology Australia,London Agency,73145352147
Pathology Awareness Australia,London Agency,73145352147
Paradise Garden Development Pty Ltd,BBS Communications Group Pty Ltd,34 010 899 779
Paradise Cocktails & Syrups Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Pembroke Resources Pty Ltd,Next Level Strategic Services,27 613 857 668
Pandana Capital Pty Ltd,Staerk Government and Media,32 844 592 574
PANDA - Perinatal Anxiety & Depression Australia Inc,John Connolly & Partners,50 056 165 827
Phosphate Resources Limited,TG Public Affairs,23630677673
Perry Cross Spinal Research,Promedia Public Relations,52 010 453 826
Players Showgirls Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Pikos Group,Social Impact (Qld),13 112 982 323
Pact,Hawker Britton,79 109 681 405
Pancare Foundation,Bossy Group,24166898488
Pelvic Pain Foundation,SEC Newgate,38162366056
P. & B. BULTE (NO 2) PTY. LTD,CMAX Advisory,73 130 740 546
PAL Aerospace,CMAX Advisory,73 130 740 546
Outside School Hours Council of Australia Ltd,GRACosway Pty Ltd,50 082 123 822
Pain Australia,Ogilvy PR Agency Pty Limited,89 096 965 794
Orion Health,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS,52 159 456 685
Orica Australia Pty Ltd,Hawker Britton,79 109 681 405
Optiver Pty Ltd,DPG Advisory Solutions Pty Ltd,14 634 403 115
Optimise Energy Solutions Pty Ltd,Chikarovski & Associates Pty Ltd,92 715 851 492
Online Brands Group,LK Creative Pty Ltd,ACN 140  857 432
Palliser Capital,GRACosway Pty Ltd,50 082 123 822
Ovarian Cancer Australia Limited,GRACosway Pty Ltd,50 082 123 822
Omni Bridgeway Limited,GRACosway Pty Ltd,50 082 123 822
Paradise R Us Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Ohana for Youth,Jutsum Advisory Pty Ltd,68 973 583 422
Optio Capital Pty Ltd,Social Impact (Qld),13 112 982 323
Ochre Health Pty Ltd,Project Urban Pty Ltd,97 608 895 923
PACIFIC BIOTECHNOLOGIES (AUSTRALIA) PTY LTD,DPG Advisory Solutions Pty Ltd,14 634 403 115
