Lobbyist Name,Lobbying Firm,ABN,Position
Graham Richardson,PremierNational,71 619 450 841,Special Counsel
Craig Regan,Primary Communication,36617864347,Consultant
Llewellyn Rees,LK Creative Pty Ltd,ACN 140  857 432,Director
William Redmond,GC Advisory,60 628 010 855,Associate
John Richardson,FIPRA Australia,50 078 482 596,Director
Will Redmond,PYNE AND PARTNERS,81 634 747 363,Senior Associate
Megan Redmond,TG Public Affairs,23630677673,Consultant
Kathleen Quinn,The Inner Circle Strategic Advisory,75634265311,Partner
Jeremy Scott,Promedia Public Relations,52 010 453 826,Managing Director
Christopher Pyne,GC Advisory,60 628 010 855,Chairman
Douglas Pye,Atlas Alliance,606084913,Director
Sahil Prasad,GRACosway Pty Ltd,50 082 123 822,Director
Damian Power,Govstrat Pty Ltd,64 964 952 044,Government Relations Consultant
Grace Portolesi,Grace Portolesi Connect,61 314 646 073,Director
Christopher Pyne,PYNE AND PARTNERS,81 634 747 363,Chairman
Jeff Popp,Forrester Consulting,48 697 260 710,Director
Andrew Plumley,Willard Public Affairs Pty Ltd,17 165 851 856,Director
Anne Pleash,Mission Consulting Solutions,32660516974,Director
Michael Photios,PremierNational,71 619 450 841,Chairman
Andrew Porter,Counsel House Pty Ltd,35 631 919 009,Director
Jeremy Phillips-Yelland,Michelson Alexander Pty Ltd,50 660 359 866,Associate
Matthew Peel,The Strand 365 PTY LTD,90 615 909 665,Principal Director
Kirstin Payne,GRACosway Pty Ltd,50 082 123 822,Associate Director
Alyssa Patterson,GRACosway Pty Ltd,50 082 123 822,Senior Consultant
Jaya Pastor-Elsegood,CMAX Advisory,73 130 740 546,Government Relations Adviser
Ankita Panjratan,Hawker Britton,79 109 681 405,Policy and Business Analyst
Lisa Palu,SAS Group,33 136 520 548,Senior Consultant
Bernard Osmond,DNS Specialist Services,84 627 756 709,Business Consultant
Liam O'Regan,Anacta Strategies Pty Ltd,64 633 978 677,Senior Associate
Kevin Parer,Australian Strategic Advisory,51623355377,Director
Test1 Only,Test Only,12 345 678 910,Administrator
Avanti Oberoi,CT Research Strategies Results,58 101 934 454,Consultant
Justine Nolan,BBS Communications Group Pty Ltd,34 010 899 779,Group Client Manager
Genevieve Nolan,GRACosway Pty Ltd,50 082 123 822,Associate
Remo Nogarotto,CT Group,72600464855,Executive Chairman
Monique Nixon-Smith,DNS Specialist Services,84 627 756 709,Consultant
Emma Nunan,Ogilvy PR Agency Pty Limited,89 096 965 794,PR Consultant
Daniel Nixon-Smith,DNS Specialist Services,84 627 756 709,Managing Director
Brandon Nixon-Smith,DNS Specialist Services,84 627 756 709,Consultant
Lisa Nixon,BBS Communications Group Pty Ltd,34 010 899 779,Director
Melissa Burrell,Promedia Public Relations,52 010 453 826,Social and Digital Strategist
Liam Nilon,GRACosway Pty Ltd,50 082 123 822,Associate Director
Tyson Sara,CMAX Advisory,73 130 740 546,Chief Operating Officer
Ehmily Nicholson,BBS Communications Group Pty Ltd,34 010 899 779,Consultant
Victoria Newton,Anacta Strategies Pty Ltd,64 633 978 677,Director
Isuru Neelagama,GRACosway Pty Ltd,50 082 123 822,Director
Sabrine Navarro,Michelson Alexander Pty Ltd,50 660 359 866,Communications Consultant
Kirsten Mulley,GRACosway Pty Ltd,50 082 123 822,CEO
Michael Morgan,Northstar Public Affairs Pty Ltd,25 638 744 046,Director
Geoff Rodgers,Rowland Pty Ltd,59 011 033 364,Chairman
Alistair Nicholas,Alistair Nicholas Consulting Pty Ltd,81 655 939 852,Director
Juan Paolo Mendoza (Paul) Mills,Australian Public Affairs,20 098 705 403,Consultant
Stephen Milgate,S A Milgate & Associates Pty Ltd,54 078 858 401,Principal and Director
Karen Miles,DWS Hospitality Specialists,50 113 985 247,Office Manager
David Miles,Willard Public Affairs Pty Ltd,17 165 851 856,Principal
Reginald Mickel,Rowland Pty Ltd,59 011 033 364,Strategic Director
Melynda Robinson,Commercial Licensing Specialists,33 134 318 595,Consultant
Nicholas Melas,Cornerstone Group,9915 3936 719,Senior Director - Government Relations
Jessie Nguyen,Primary Communication,36617864347,Account Manager
David Meale,Candra Business Advisers,26 116 275 382,Director
Kristy McSweeney,The PR Counsel Pty Ltd,27611490325,Principal
Peter McMahon,Bossy Group,24166898488,Consultant - Executive Director
Christopher McLaughlin,culturev8,23 311 857 358,Practice Director
Matthew Moran,Willard Public Affairs Pty Ltd,17 165 851 856,Principal
John McKennariery,Project Urban Pty Ltd,97 608 895 923,Director
Justin McGurgan,Groundswell Leaders,33 103 434 840,Managing Director
Zackary McLennan,Lunik,83615178571,Director / Co-Founder
Gabriel McDowell,Res Publica Pty Ltd,63 103 178 258,Managing Director
Jacob McKenzie,CMAX Advisory,73 130 740 546,Government Relations Adviser
Finn McCarthy,SEC Newgate,38162366056,Senior Consultant
